id	filename	md5	size	state
0b4e6a1c-99aa-45e3-a343-c16c26923d40	6726df5e-1c73-4fc7-8c23-649740897425.rna_seq.augmented_star_gene_counts.tsv	975de3daebf2fec4638093d87eb57191	4207083	released
ff721df7-5306-47c6-a5ee-e771678decbd	6c2706ed-9c7b-4c11-978d-db36d3e0f053.rna_seq.augmented_star_gene_counts.tsv	bd81a11b8367a5197c6e9360b84ea64e	4210612	released
8d382ecb-aa96-4b5d-820c-25ca61a545c4	f0555e85-eb5e-4b98-9c43-b035d375db23.rna_seq.augmented_star_gene_counts.tsv	adf6509eb46bd4e1b4f54c12bf970648	4224198	released
b14bcc5f-6c85-465b-9d01-04acd13d77bd	f537b744-2a78-434e-91af-fccd98d1f4aa.rna_seq.augmented_star_gene_counts.tsv	125765bd101dd37c57c2f48f854ae07a	4235211	released
df4dc655-5b3c-4443-afa6-48f4dcab9d0b	e5b8de35-dbab-43ae-b166-5d4f02e8b280.rna_seq.augmented_star_gene_counts.tsv	b0f8ed886f031b15448961c844f163b1	4234038	released
221dac32-9dcb-414d-a68d-238cde1178e1	b8388555-c7da-47ab-b12d-5fad42111999.rna_seq.augmented_star_gene_counts.tsv	0e8f2a44eee98f5f8737bd1c7d62ba7c	4238094	released
956c801e-1ac3-4b8e-b26b-0074e5087b5e	99567dd3-6537-441c-80ab-bce5cf89086d.rna_seq.augmented_star_gene_counts.tsv	15d7b32698ca7ca8f9693aa3a5d6b4a2	4228479	released
f4633f46-6081-4ab3-a53c-9497df3c4616	37702812-40a0-40ca-9755-f2965a4693b9.rna_seq.augmented_star_gene_counts.tsv	24a6cc407ae906081084f32449f2aef2	4215210	released
339643c4-b114-415e-83f4-3d45cb212e9e	7ac658f5-139e-4162-9349-76ae70d81f8d.rna_seq.augmented_star_gene_counts.tsv	ba880032ccf0694db90c1df9c9bd95cd	4214712	released
eb5e573d-46b3-47f4-a761-df02765bd899	406bbcc7-4726-4ca8-bb97-77c2a68f64fa.rna_seq.augmented_star_gene_counts.tsv	d55ea1d67aa8a672f829fcae50c3bb0b	4236772	released
e1ff1fc1-7938-4d9b-89bf-5b7ca2d8b016	6e081602-6153-46e4-86db-9826a34c9921.rna_seq.augmented_star_gene_counts.tsv	3a7b08b68448db45f0e2672705ec9ee1	4224858	released
efec9ce7-6478-4af4-9d66-5b554e715bcb	1953d364-5488-428c-b2c3-df1bce15a596.rna_seq.augmented_star_gene_counts.tsv	3e67eb6bc2d9af1f0ac00b28d9d08c2e	4229304	released
10587870-10fd-408b-bf8f-f97bbf668952	e00ee8dd-9800-4d70-9fc2-12d916b5c755.rna_seq.augmented_star_gene_counts.tsv	1126a0b4a9bf3483ca562f7648acd778	4247998	released
ca1840c9-5470-4e53-8841-37da75196bff	da7595aa-504a-46b9-9667-52260de1f477.rna_seq.augmented_star_gene_counts.tsv	330635d260bdddb61889671e4d2cd3a9	4248857	released
89cbbe72-9061-41dc-ab10-d05112727eb5	b900bdd9-cbd7-4ad2-88f5-b8904f5a8851.rna_seq.augmented_star_gene_counts.tsv	70dc03ae3cc4f668eda3acfecbfa8f5e	4227284	released
7c01fcae-dec1-4d7a-892e-b5d76ad81e17	a5d3734a-6826-41a0-aad4-6c8122abd974.rna_seq.augmented_star_gene_counts.tsv	6bc98c73b174862306099874323dc3ab	4225548	released
25a410f8-b6f6-4883-8551-4e2515606cd6	b635dfb2-4dbe-4932-8a1f-0fd3f8457184.rna_seq.augmented_star_gene_counts.tsv	078120c4b34efbc89fdc53ba8fdc4dda	4246996	released
95b7f49a-ba2e-41a3-99aa-630c2520e5b9	6df331f7-c738-48d5-a8ea-22c3fff0ef69.rna_seq.augmented_star_gene_counts.tsv	092a6d6e60fb905a12e105186f3eec00	4241251	released
91c2d903-e9f9-48de-b116-7b98c6940134	8a7fb0cb-1f05-4231-bc89-a0ce9790f273.rna_seq.augmented_star_gene_counts.tsv	a4f7506ef62dc3e38359150caba44abb	4247737	released
35cfd54c-8c39-4f17-8bcb-3bff3ed2169a	a8dd63ed-0b29-40ea-beb5-6a05f88356f9.rna_seq.augmented_star_gene_counts.tsv	74ca88b33e19559780b164f3c0a4b8eb	4222874	released
960daf2a-8884-43bd-ab4f-06dadf4f8f61	75291100-b4e2-4e40-a3dc-232e3bd88831.rna_seq.augmented_star_gene_counts.tsv	ed93ab68dc60e899fca7d2372e635f8f	4240113	released
a05117b2-0fd4-4f04-91b7-329a9862ce85	5c90921f-4e57-4c17-9742-4659645c448a.rna_seq.augmented_star_gene_counts.tsv	0c6578809df51202b4b894c5a4e27263	4243399	released
04be771c-5256-4c74-ab24-83ba23db4b8b	4600c8c4-2d81-4a7a-8032-9545069bbcfa.rna_seq.augmented_star_gene_counts.tsv	42b8a2ace508baea72b3ef3b010cb383	4233044	released
d30946e4-eb06-43d5-838f-7b49aff86b06	8c98c4be-3dbf-4332-93e7-6676743ad203.rna_seq.augmented_star_gene_counts.tsv	09f7820c1bf030858ea367028bab09eb	4240861	released
